Apt1 Apt2 Apt3 Drain1 EastGC1 EastGC10 EastGC11 EastGC13 EastGC2 EastGC3 EastGC4 EastGC7 Hotel1 Hotel2 Hotel3 Hotel4 Private1 WestGC1 WestGC2 WestGC6
Apt1 0 0.139425217909067 0.039590653979017 -0.278989012249688 0.441347649617883 0.513243147789705 0.508484226269217 0.46284488170434 0.498239480742328 0.547200598107675 0.511385793590596 0.44755587370373 0.627530085859665 0.653242283410018 0.619408180951302 0.649468884522384 0.584197796536443 0.457593721051369 0.442020468542418 0.403975834807353
Apt2 -0.139425217909067 0 -0.0859877519731602 -0.4018577242296 0.318777587001649 0.406270941733637 0.399606507302606 0.34600591620011 0.384716824054231 0.438915053393559 0.397816338470299 0.331171145980621 0.540410033262 0.572150454042329 0.532469047564553 0.567929807451732 0.48809868193421 0.34069416586928 0.322768858085356 0.282310846922029
Apt3 -0.039590653979017 0.0859877519731602 0 -0.330135994372415 0.398290779688458 0.476228925230906 0.469528949384869 0.421045401753725 0.458099183763835 0.507412456834483 0.472734772381867 0.40732308179779 0.598570287612021 0.627018022059372 0.588836567777147 0.621524939721194 0.54906031760681 0.416053065696836 0.401057766507427 0.36273641749126
Drain1 0.278989012249688 0.4018577242296 0.330135994372415 0 0.642681398832512 0.687796638916166 0.685609270656791 0.658632391696267 0.682557747815211 0.718629468605914 0.690058351408147 0.644759725282347 0.773425203824622 0.788835459631323 0.769772490790238 0.789368813644508 0.735601230619945 0.660489095600637 0.645630655164666 0.620600429825006
EastGC1 -0.441347649617883 -0.318777587001649 -0.398290779688458 -0.642681398832512 0 0.102069058756852 0.101435505008495 0.036502232962838 0.0862931014105791 0.145065051863204 0.091231594116114 0.0166442477459827 0.309904146262626 0.344660311506843 0.305659984911496 0.342982521394203 0.190497625702853 0.0540922639560255 0.0306553780715083 -0.0313464167692685
EastGC10 -0.513243147789705 -0.406270941733637 -0.476228925230906 -0.687796638916166 -0.102069058756852 0 0.00919892909228064 -0.0573368312814658 -0.00891157111459564 0.0555685955949443 0.00122481086951236 -0.0812519477000844 0.215409329116624 0.253758026966804 0.209021406046607 0.250905970767047 0.10356035512354 -0.0447160966649952 -0.0697019885799405 -0.129561908173378
EastGC11 -0.508484226269217 -0.399606507302606 -0.469528949384869 -0.685609270656791 -0.101435505008495 -0.00919892909228064 0 -0.0644718455472322 -0.014398209937394 0.0477905105824271 -0.00374829234668459 -0.0875111358218282 0.220109208736539 0.260942398488212 0.211837144285489 0.254054662926483 0.107864408015764 -0.0445976069155936 -0.0696027158553495 -0.130092128863462
EastGC13 -0.46284488170434 -0.34600591620011 -0.421045401753725 -0.658632391696267 -0.036502232962838 0.0573368312814658 0.0644718455472322 0 0.0465960035834455 0.10915699686962 0.0580336733548384 -0.0244706289267358 0.279273868845258 0.319935476219613 0.270620252631643 0.313323235087178 0.162024556663255 0.0153741364411499 -0.00893147052797547 -0.0704747088850707
EastGC2 -0.498239480742328 -0.384716824054231 -0.458099183763835 -0.682557747815211 -0.0862931014105791 0.00891157111459564 0.014398209937394 -0.0465960035834455 0 0.0576752992642655 0.00891554976779787 -0.0692983562973835 0.234758496805868 0.272397630566533 0.228250007512059 0.269112869458943 0.116897376005089 -0.0286252260066028 -0.0528916245395236 -0.113510298334788
EastGC3 -0.547200598107675 -0.438915053393559 -0.507412456834483 -0.718629468605914 -0.145065051863204 -0.0555685955949443 -0.0477905105824271 -0.10915699686962 -0.0576752992642655 0 -0.0487515287167372 -0.128723830444199 0.169144431864099 0.212161105387213 0.162664185254452 0.205518274595133 0.0627002447105547 -0.0912437268221258 -0.117399510256743 -0.175227670759102
