Sample.Name,id_number,id_year,Run,BioProject,BioSample,carapace_length_mm,Center.Name,Collection_Date,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,library_id,Library.Name,library_name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,sex,site_name,SRA.Study,store_cond,tissue,year_sequenced,resequenced
AUB-1,1,NA,SRR30264239,PRJNA1148680,SAMN43213425,45,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725171,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-1_RSC1_2021,AUB-1_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-10,10,NA,SRR30264536,PRJNA1148680,SAMN43213434,42,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725498,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-10_RSC2_2021,AUB-10_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-11,11,NA,SRR30264237,PRJNA1148680,SAMN43213435,51,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725173,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-11_RSC2_2021,AUB-11_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-12,12,NA,SRR30264226,PRJNA1148680,SAMN43213436,38,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725184,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-12_RSC2_2021,AUB-12_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-13,13,NA,SRR30264055,PRJNA1148680,SAMN43213437,37,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725011,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-13_RSC2_2021,AUB-13_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-14,14,NA,SRR30263766,PRJNA1148680,SAMN43213438,39,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25724956,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-14_RSC2_2021,AUB-14_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-15,15,NA,SRR30263755,PRJNA1148680,SAMN43213439,47,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25724967,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-15_RSC2_2021,AUB-15_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-16,16,NA,SRR30264038,PRJNA1148680,SAMN43213440,48,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725028,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-16_RSC2_2021,AUB-16_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-17,17,NA,SRR30263749,PRJNA1148680,SAMN43213441,44,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25724973,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-17_RSC12_2021,AUB-17_RSC12_2021,RSC12,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-2,2,NA,SRR30264238,PRJNA1148680,SAMN43213426,39,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725172,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-2_RSC1_2021,AUB-2_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-3,3,NA,SRR30264497,PRJNA1148680,SAMN43213427,40,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725537,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-3_RSC1_2021,AUB-3_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-4,4,NA,SRR30264450,PRJNA1148680,SAMN43213428,43,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725584,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-4_RSC1_2021,AUB-4_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-5,5,NA,SRR30264707,PRJNA1148680,SAMN43213429,51,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725671,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-5_RSC1_2021,AUB-5_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-6,6,NA,SRR30264676,PRJNA1148680,SAMN43213430,46,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725702,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-6_RSC1_2021,AUB-6_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-7,7,NA,SRR30264645,PRJNA1148680,SAMN43213431,62,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725733,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-7_RSC1_2021,AUB-7_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-8,8,NA,SRR30264358,PRJNA1148680,SAMN43213432,36,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725364,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-8_RSC1_2021,AUB-8_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,WestGC6,SRP526750,95% ethanol,gill,2021,
AUB-9,9,NA,SRR30264311,PRJNA1148680,SAMN43213433,37,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 2,SRX25725411,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,AUB-9_RSC2_2021,AUB-9_RSC2_2021,RSC2,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,WestGC6,SRP526750,95% ethanol,gill,2021,
BB-1,1,NA,SRR30264665,PRJNA1148680,SAMN43213977,43,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 1,SRX25725713,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,BB-1_RSC7_2021,BB-1_RSC7_2021,RSC7,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,Apartment2,SRP526750,95% ethanol,gill,2021,
BB-2,2,NA,SRR30264664,PRJNA1148680,SAMN43213978,48,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 1,SRX25725714,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,BB-2_RSC7_2021,BB-2_RSC7_2021,RSC7,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,Apartment2,SRP526750,95% ethanol,gill,2021,
FAR-1,1,NA,SRR30264667,PRJNA1148680,SAMN43213975,41,MICHIGAN STATE UNIVERSITY,9/30/20,adult,Group 4,SRX25725711,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FAR-1_RSC7_2021,FAR-1_RSC7_2021,RSC7,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,Private2,SRP526750,95% ethanol,gill,2021,
FC1-1,1,NA,SRR30263738,PRJNA1148680,SAMN43213442,33,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25724984,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-1_RSC3_2021,FC1-1_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-10,10,NA,SRR30264204,PRJNA1148680,SAMN43213451,32,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725206,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-10_RSC4_2021,FC1-10_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-11,11,NA,SRR30264193,PRJNA1148680,SAMN43213452,41,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725217,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-11_RSC4_2021,FC1-11_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-12,12,NA,SRR30263990,PRJNA1148680,SAMN43213453,35,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725076,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-12_RSC4_2021,FC1-12_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
