Var1 Var2 value zScore
Apt1 Apt1 0 0.14
Apt2 Apt1 -0.139 -0.278
Apt3 Apt1 -0.04 0.02
WestGC1 Apt1 -0.458 -1.236
WestGC2 Apt1 -0.442 -1.188
WestGC6 Apt1 -0.404 -1.074
Hotel1 Apt1 -0.628 -1.746
Hotel2 Apt1 -0.653 -1.822
Hotel3 Apt1 -0.619 -1.719
Hotel4 Apt1 -0.649 -1.81
EastGC1 Apt1 -0.441 -1.185
EastGC7 Apt1 -0.448 -1.206
EastGC10 Apt1 -0.513 -1.401
EastGC11 Apt1 -0.508 -1.386
EastGC13 Apt1 -0.463 -1.251
EastGC2 Apt1 -0.498 -1.356
EastGC3 Apt1 -0.547 -1.503
EastGC4 Apt1 -0.511 -1.395
Private1 Apt1 -0.584 -1.614
Drain1 Apt1 0.279 0.978
Apt2 Apt2 0 0.14
Apt3 Apt2 0.086 0.398
WestGC1 Apt2 -0.341 -0.884
WestGC2 Apt2 -0.323 -0.83
WestGC6 Apt2 -0.282 -0.707
Hotel1 Apt2 -0.54 -1.482
Hotel2 Apt2 -0.572 -1.578
Hotel3 Apt2 -0.532 -1.458
Hotel4 Apt2 -0.568 -1.566
EastGC1 Apt2 -0.319 -0.818
EastGC7 Apt2 -0.331 -0.854
EastGC10 Apt2 -0.406 -1.08
EastGC11 Apt2 -0.4 -1.062
EastGC13 Apt2 -0.346 -0.899
EastGC2 Apt2 -0.385 -1.017
EastGC3 Apt2 -0.439 -1.179
EastGC4 Apt2 -0.398 -1.056
Private1 Apt2 -0.488 -1.326
Drain1 Apt2 0.402 1.347
Apt3 Apt3 0 0.14
WestGC1 Apt3 -0.416 -1.11
WestGC2 Apt3 -0.401 -1.065
WestGC6 Apt3 -0.363 -0.95
Hotel1 Apt3 -0.599 -1.659
Hotel2 Apt3 -0.627 -1.743
Hotel3 Apt3 -0.589 -1.629
Hotel4 Apt3 -0.622 -1.728
EastGC1 Apt3 -0.398 -1.056
EastGC7 Apt3 -0.407 -1.083
EastGC10 Apt3 -0.476 -1.29
EastGC11 Apt3 -0.47 -1.272
EastGC13 Apt3 -0.421 -1.125
EastGC2 Apt3 -0.458 -1.236
EastGC3 Apt3 -0.507 -1.383
