Var1 Var2 value zScore
EastGC10 EastGC10 0 0.228791682091415
EastGC11 EastGC10 -0.009 0.0817113150326482
EastGC1 EastGC10 0.102 1.89570250875744
EastGC7 EastGC10 0.081 1.55251498562032
EastGC13 EastGC10 0.057 1.1603006734636
EastGC2 EastGC10 0.009 0.375872049150182
EastGC3 EastGC10 -0.056 -0.686375046274245
EastGC4 EastGC10 -0.001 0.212449419084885
EastGC11 EastGC11 0 0.228791682091415
EastGC1 EastGC11 0.101 1.87936024575091
EastGC7 EastGC11 0.088 1.66691082666602
EastGC13 EastGC11 0.064 1.27469651450931
EastGC2 EastGC11 0.014 0.45758336418283
EastGC3 EastGC11 -0.048 -0.555636942222008
EastGC4 EastGC11 0.004 0.294160734117534
EastGC1 EastGC1 0 0.228791682091415
EastGC7 EastGC1 -0.017 -0.0490267890195889
EastGC13 EastGC1 -0.037 -0.375872049150182
EastGC2 EastGC1 -0.086 -1.17664293647013
EastGC3 EastGC1 -0.145 -2.14083645385538
EastGC4 EastGC1 -0.091 -1.25835425150278
EastGC7 EastGC7 0 0.228791682091415
EastGC13 EastGC7 -0.024 -0.163422630065296
EastGC2 EastGC7 -0.069 -0.89882446535913
EastGC3 EastGC7 -0.129 -1.87936024575091
EastGC4 EastGC7 -0.08 -1.07858935843096
EastGC13 EastGC13 0 0.228791682091415
EastGC2 EastGC13 -0.047 -0.539294679215478
EastGC3 EastGC13 -0.109 -1.55251498562032
EastGC4 EastGC13 -0.058 -0.719059572287304
EastGC2 EastGC2 0 0.228791682091415
EastGC3 EastGC2 -0.058 -0.719059572287304
EastGC4 EastGC2 -0.009 0.0817113150326482
EastGC3 EastGC3 0 0.228791682091415
EastGC4 EastGC3 0.049 1.02956256941137
EastGC4 EastGC4 0 0.228791682091415
