Site1 Site2 nei
Apt2 Apt1 0.139
Apt3 Apt1 0.082
Apt3 Apt2 0.222
WestGC1 Apt1 0.453
WestGC1 Apt2 0.537
WestGC1 Apt3 0.529
WestGC2 Apt1 0.446
WestGC2 Apt2 0.53
WestGC2 Apt3 0.522
WestGC2 WestGC1 0.006
WestGC6 Apt1 0.428
WestGC6 Apt2 0.51
WestGC6 Apt3 0.502
WestGC6 WestGC1 0.068
WestGC6 WestGC2 0.062
Hotel1 Apt1 0.492
Hotel1 Apt2 0.585
Hotel1 Apt3 0.57
Hotel1 WestGC1 0.135
Hotel1 WestGC2 0.134
Hotel1 WestGC6 0.176
Hotel2 Apt1 0.491
Hotel2 Apt2 0.586
Hotel2 Apt3 0.571
Hotel2 WestGC1 0.128
Hotel2 WestGC2 0.126
Hotel2 WestGC6 0.16
Hotel2 Hotel1 0.009
Hotel3 Apt1 0.495
Hotel3 Apt2 0.586
Hotel3 Apt3 0.572
Hotel3 WestGC1 0.133
Hotel3 WestGC2 0.13
Hotel3 WestGC6 0.17
Hotel3 Hotel1 0.01
Hotel3 Hotel2 0.004
Hotel4 Apt1 0.495
Hotel4 Apt2 0.588
Hotel4 Apt3 0.573
Hotel4 WestGC1 0.133
Hotel4 WestGC2 0.128
Hotel4 WestGC6 0.172
Hotel4 Hotel1 0.019
Hotel4 Hotel2 0.003
Hotel4 Hotel3 0.002
EastGC1 Apt1 0.427
EastGC1 Apt2 0.516
EastGC1 Apt3 0.502
EastGC1 WestGC1 0.163
EastGC1 WestGC2 0.155
EastGC1 WestGC6 0.136
EastGC1 Hotel1 0.275
EastGC1 Hotel2 0.263
EastGC1 Hotel3 0.273
EastGC1 Hotel4 0.275
EastGC7 Apt1 0.436
EastGC7 Apt2 0.526
EastGC7 Apt3 0.513
EastGC7 WestGC1 0.143
EastGC7 WestGC2 0.138
EastGC7 WestGC6 0.132
EastGC7 Hotel1 0.25
EastGC7 Hotel2 0.238
EastGC7 Hotel3 0.247
EastGC7 Hotel4 0.248
EastGC7 EastGC1 0.036
EastGC10 Apt1 0.45
EastGC10 Apt2 0.544
EastGC10 Apt3 0.529
