"surface" "avg.AIC" "avg.AICc" "avg.weight" "avg.rank" "avg.R2m" "avg.LL" "avg.RMSE" "n" "Percent.top" "k"
"Distance" -35.0830022424094 -29.0830022424094 0.999994349214417 1.611 0.70000289441716 19.5415011212047 0.0384193908782432 621 62.1 2
"roads_ranked_group2.txt" -31.4499437465824 28.5500562534176 4.4413286977828e-12 2.373 0.79933118697628 20.7249718732912 0.0292602717426319 379 37.9 5
"canopy_group2.txt" -30.9271204810522 9.07287951894782 6.53085575841703e-09 3.461 0.705117230554554 19.4635602405261 0.0385587897901104 0 0 4
"roads_ranked_group2.asc.hydrography_group2" -27.435396541981 84.564603458019 4.59862031934715e-24 3.858 0.802377886871881 20.7176982709905 0.0287977167340239 0 0 7
"canopy_group2.roads_ranked_group2.asc" -25.8658012204558 118.134198779544 1.98041266280328e-31 5.289 0.812439967780056 20.9329006102279 0.026041549980961 0 0 8
"canopy_group2.hydrography_group2" -27.740347525842 56.259652474158 3.64758898647029e-19 5.577 0.694444147728247 19.870173762921 0.0361161414612152 0 0 6
"hydrography_group2.txt" -21.4699338474088 2.53006615259119 5.64425028599035e-06 7.187 0.21514534171411 13.7349669237044 0.0509728451235985 0 0 3
"canopy_group2.roads_ranked_group2.asc.hydrography_group2" -21.1236252486834 198.876374751317 4.62313888212163e-49 7.767 0.793711003472909 20.5618126243417 0.0296870533150039 0 0 10
"nlcd_group2.txt" -19.8105670303126 124.189432969687 1.43497321704176e-32 7.973 0.589733791191047 17.9052835151563 0.0327473103845335 0 0 8
"canopy_group2.txt.hydrography_group2.txt.nlcd_group2.txt.roads_ranked_group2.txt" -10.0617047212605 601.93829527874 6.54320969472802e-137 9.904 0.866849121851406 22.0308523606302 0.0252036003487338 0 0 17
