"surface" "avg.AIC" "avg.AICc" "avg.weight" "avg.rank" "avg.R2m" "avg.LL" "avg.RMSE" "n" "Percent.top" "k"
"Distance" -56.9563572880692 -52.9563572880692 0.874129191775602 2.029 0.299599860472887 30.4781786440346 0.0310112472535214 263 26.3 2
"roads_ranked_group3.txt" -57.3204939377173 -45.3204939377173 0.0539459470573744 2.068 0.412805453132991 31.6602469688587 0.026697371403671 376 37.6 3
"canopy_group3.txt" -52.8574121151789 -12.8574121151789 2.11304635546757e-09 4.229 0.315146075539263 30.4287060575895 0.0310009639802651 0 0 4
"hydrography_group3.txt" -53.9574079598772 -41.9574079598772 0.0719248590537969 4.358 0.304812554946971 29.9787039799386 0.0328877504617887 361 36.1 3
"roads_ranked_group3.asc.hydrography_group3.asc" -52.078259135417 7.92174086458296 1.48451282114504e-13 4.827 0.384726744152329 31.0391295677085 0.0299053818829683 0 0 5
"nlcd_group3.txt" -51.0183958016385 8.98160419836146 3.21080978494322e-14 6.09 0.308623562940019 30.5091979008193 0.0308990303561889 0 0 5
"canopy_group3.asc.hydrography_group3.asc" -49.9506179870477 34.0493820129523 3.4542221783486e-19 6.938 0.380509224906847 30.9753089935238 0.0300434584453891 0 0 6
"nlcd_group3.asc.roads_ranked_group3.asc" -49.044388127437 62.955611872563 1.2837043858348e-25 8.271 0.391125144940349 31.5221940637185 0.028301901637768 0 0 7
"canopy_group3.asc.roads_ranked_group3.asc" -48.8272113584903 35.1727886415097 7.60343884635341e-20 8.36 0.311323066262289 30.4136056792451 0.0310395538760281 0 0 6
"nlcd_group3.asc.hydrography_group3.asc" -48.4400337615665 63.5599662384335 8.54286469067017e-26 8.875 0.392170821383622 31.2200168807832 0.0294770475015287 0 0 7
"canopy_group3.asc.roads_ranked_group3.asc.hydrography_group3.asc" -45.9653180848173 98.0346819151827 5.17930702266402e-33 10.768 0.383621939189636 30.9826590424087 0.0300636511995195 0 0 8
"nlcd_group3.asc.canopy_group3.asc" -44.643107482786 99.356892517214 9.5945524732393e-34 12.273 0.307434664275066 30.321553741393 0.0312053293608022 0 0 8
"roads_ranked_group3.asc.hydrography_group3.asc.nlcd_group3.asc" -44.1291892761454 135.870810723855 2.01109645346566e-41 12.607 0.383434153529238 31.0645946380727 0.0297672914085562 0 0 9
"canopy_group3.asc.hydrography_group3.asc.nlcd_group3.asc" -41.330921557482 178.669078442518 3.97787307390505e-50 13.924 0.371543145728506 30.665460778741 0.0310716569426398 0 0 10
"canopy_group3.asc.roads_ranked_group3.asc.nlcd_group3.asc" -40.5712493735033 179.428750626497 4.08057835952019e-51 14.642 0.305763365184173 30.2856246867517 0.0312726226357753 0 0 10
"canopy_group3.txt.hydrography_group3.txt.nlcd_group3.txt.roads_ranked_group3.txt" -38.2234129842225 273.776587015777 3.00471950151088e-71 15.741 0.390868789594353 31.1117064921113 0.0297963302677861 0 0 12
