,5cols_step_x,Grp3_bridge_mROW,Grp3_bridge_indGrp1-5,Grp3_step_mROW,Grp3_step_indGrp1-5,Grp2_bridge_mROW,Grp2_bridge_indGrp1-5,Grp2_step_mROW,Grp2_step_indGrp1-5,W2E_step_x,class.error
5cols_step_x,92160,1209,2254,127,280,1109,2285,107,317,152,0.0784
Grp3_bridge_mROW,2045,74948,2822,4755,618,4925,170,4817,458,4442,0.25052
Grp3_bridge_indGrp1-5,5872,1360,67462,108,11728,180,4515,33,7810,932,0.32538
Grp3_step_mROW,1175,7343,133,82235,75,3294,80,4607,30,1028,0.17765
Grp3_step_indGrp1-5,2610,474,10838,189,75477,192,5433,29,3854,904,0.24523
Grp2_bridge_mROW,1899,5323,218,4919,490,71348,2400,4993,624,7786,0.28652
Grp2_bridge_indGrp1-5,5380,151,4783,47,8139,1333,65553,124,11843,2647,0.34447
Grp2_step_mROW,1216,4008,107,4475,25,6686,102,82431,79,871,0.17569
Grp2_step_indGrp1-5,2645,211,6181,27,3594,490,10166,183,75168,1335,0.24832
W2E_step_x,1523,2152,653,1285,1598,5371,4139,1091,1375,80813,0.19187
